24 2
145.8 394.25 1
Nitrogen	0.0045	28.016	0	    0
CO2	        0.0207	44.01	0	    0
H2S	        0.00383	34.08	0	    0
Methane	    0.26576	16.043	0   	0.88
Ethane	    0.07894	30.069	0	    0.07
Propane	    0.0673	44.096	0	    0.03
isoButane	0.01485	58.123	0	    0.005
n-Butane	0.03899	58.123	0	    0.005
isopentane	0.01937	72.15	0	    0.005
n-Pentane	0.02505	72.15	0	    0.005
n-Hexane    0.03351	86.177	0	    0
n-Heptane 	0.04311	92.6	0.7262	0
n-Octane    0.04133	108.9	0.7509	0
n-Nonane    0.03051	120.1	0.7716	0
n-Decane    0.02033	137.9	0.7878	0
n-Undecane  0.02635	149	    0.8037	0
n-Dodecane  0.02285	163	    0.8154	0
C13 	    0.02364	177	    0.827	0
C14 	    0.02038	191	    0.8412	0
C15 	    0.01752	205	    0.8588	0
C16 	    0.01589	219	    0.8627	0
C17 	    0.01492	234	    0.8586	0
C18 	    0.01263	248	    0.8648	0
C19 	    0.00812	263	    0.8771	0
C20+        0.12962	450	    0.956	0
